X,Y,concentration,v_x,v_y,v_z
2.1895,0.0725,0.00401,-0.01143,0.02388,-0.00308
2.2185,0.0725,0.00401,-0.01071,0.02398,-0.003
2.2475,0.0725,0.00401,-0.00998,0.02409,-0.00292
2.2765,0.0725,0.00401,-0.00923,0.02435,-0.00279
2.3055,0.0725,0.004,-0.00841,0.02466,-0.00265
2.3345,0.0725,0.004,-0.00767,0.02508,-0.00249
2.3635,0.0725,0.00399,-0.00688,0.02556,-0.00232
2.3925,0.0725,0.00399,-0.00621,0.02615,-0.00213
2.4215,0.0725,0.00398,-0.00558,0.02676,-0.00195
2.4505,0.0725,0.00398,-0.00493,0.02746,-0.00178
2.4795,0.0725,0.00397,-0.00434,0.02817,-0.00167
2.5085,0.0725,0.00396,-0.00374,0.02888,-0.00162
2.5375,0.0725,0.00396,-0.00328,0.0295,-0.0016
2.5665,0.0725,0.00395,-0.00278,0.03007,-0.00171
2.5955,0.0725,0.00394,-0.00191,0.03081,-0.00201
2.6245,0.0725,0.00393,-0.00107,0.03145,-0.00239
2.6535,0.0725,0.00392,-6e-05,0.03204,-0.00291
2.6825,0.0725,0.00391,0.00122,0.0327,-0.00353
2.7115,0.0725,0.0039,0.00297,0.03372,-0.00435
2.7405,0.0725,0.00388,0.00497,0.03469,-0.00518
2.7695,0.0725,0.00386,0.00726,0.03579,-0.00603
2.7985,0.0725,0.00384,0.00989,0.03714,-0.00693
2.8275,0.0725,0.00382,0.01299,0.03864,-0.00775
2.8565,0.0725,0.00379,0.01617,0.04011,-0.00855
2.8855,0.0725,0.00377,0.01956,0.04168,-0.00934
2.9145,0.0725,0.00374,0.02313,0.04342,-0.00969
2.9435,0.0725,0.00372,0.02663,0.04501,-0.00987
2.9725,0.0725,0.00369,0.03003,0.04651,-0.00986
3.0015,0.0725,0.00367,0.03329,0.04787,-0.00954
3.0305,0.0725,0.00365,0.0363,0.049,-0.00891
3.0595,0.0725,0.00362,0.03902,0.05003,-0.00814
3.0885,0.0725,0.0036,0.04148,0.05094,-0.00727
3.1175,0.0725,0.00358,0.04347,0.05164,-0.00623
3.1465,0.0725,0.00355,0.04483,0.05201,-0.00496
3.1755,0.0725,0.00353,0.04589,0.0525,-0.00374
3.2045,0.0725,0.00351,0.04624,0.05298,-0.00237
3.2335,0.0725,0.00348,0.04618,0.05334,-0.00087
3.2625,0.0725,0.00345,0.0451,0.05396,0.00089
3.2915,0.0725,0.00342,0.04355,0.05496,0.00278
3.3205,0.0725,0.00338,0.04129,0.05638,0.00493
